,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
129,Instagram,"Dimitri Vegas & Like Mike",784301,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
130,"Did It Again","Lil Tecca",774329,https://open.spotify.com/track/4guBZjUyrGoHsTahO3IHdj
131,"Say You Won't Let Go","James Arthur",772946,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
132,SAD!,XXXTENTACION,764021,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
133,"Otro Trago",Sech,763925,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
134,"Si Se Da - Remix","Myke Towers",761804,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
135,"200 km/h","Apache 207",761453,https://open.spotify.com/track/2wvLtM25eMpHK7hkidqte2
136,"Don't Stop Me Now - Remastered",Queen,760755,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
137,Popopop,Gambi,760490,https://open.spotify.com/track/18HNGxDOcshRU2Hdu8tMOM
138,"Let Me Down Slowly","Alec Benjamin",751415,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
139,"One Thing Right",Marshmello,751166,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
140,Youngblood,"5 Seconds of Summer",750996,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
141,"I Like Me Better",Lauv,750511,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
142,"Baby (Lil Baby feat. DaBaby)","Quality Control",749699,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
143,"Pop Out (feat. Lil Tjay)","Polo G",749024,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
144,"High Hopes","Panic! At The Disco",748781,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
145,Thunder,"Imagine Dragons",743283,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
146,"Another One Bites The Dust - Remastered 2011",Queen,740794,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
147,"Ballin' (feat. Roddy Ricch)",Mustard,738995,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
148,"Te Robaré","Nicky Jam",729206,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
149,"Gaiola É o Troco","MC Du Black",724467,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH
150,"Die For Me (feat. Future & Halsey)","Post Malone",723654,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK
151,"Rescue Me",OneRepublic,723024,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
152,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",722567,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
153,"bury a friend","Billie Eilish",722535,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
154,"Be Alright","Dean Lewis",721635,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
155,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",719823,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
156,Moonlight,XXXTENTACION,718760,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
157,"MIDDLE CHILD","J. Cole",716502,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
158,"Behind Barz - Bonus",Drake,714602,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
159,"Call You Mine","The Chainsmokers",710817,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT
160,Atrévete,"Nicky Jam",708422,https://open.spotify.com/track/3KekO5WUfJsh7kYU9o2w50
161,"Love Me","Lil Tecca",707952,https://open.spotify.com/track/4e0FYxSROat25pH16zMTZI
162,"Supera - Ao Vivo","Marília Mendonça",707024,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz
163,2002,Anne-Marie,706899,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
164,"Don't Call Me Up",Mabel,703128,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
165,Better,Khalid,699034,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
166,"Tal Vez","Paulo Londra",685639,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
167,"Surtada - Remix Brega Funk","Dadá Boladão",684671,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r
168,"Pa Mí - Remix",Dalex,680471,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
169,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,680114,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
170,"Under Pressure - Remastered",Queen,677432,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
171,Bellaquita,Dalex,675648,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
172,"On The Road (feat. Meek Mill & Lil Baby)","Post Malone",675135,https://open.spotify.com/track/12Fkyg9lpmaz2zmKOfw2Y2
173,"Panini - DaBaby Remix","Lil Nas X",673371,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD
174,comethru,"Jeremy Zucker",667053,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
175,"Hate Me (with Juice WRLD)","Ellie Goulding",664357,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
176,"Ransom (with Juice WRLD) - Remix","Lil Tecca",663233,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp
177,"Murder On My Mind","YNW Melly",662885,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
178,"All of Me","John Legend",658769,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
179,"Make No Sense","YoungBoy Never Broke Again",658193,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
180,"quando a bad bater - ao vivo","Luan Santana",658056,https://open.spotify.com/track/5gvrBqNFFEWcxYPt3mamvJ
181,"Too Good At Goodbyes","Sam Smith",657748,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
182,"God's Plan",Drake,657109,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
183,"Hit Contagiante","Felipe Original",653176,https://open.spotify.com/track/5dKesZwp6deuhEeW8F1UEi
184,"Cuerpo en Venta",Noriel,652009,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
185,"In My Mind",Dynoro,650717,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
186,"Jocelyn Flores",XXXTENTACION,648690,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
187,"The Git Up","Blanco Brown",648209,https://open.spotify.com/track/2KKijf6Ett4kmVNJze2roh
188,"Something Just Like This","The Chainsmokers",647632,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
189,"Bad Bad Bad (feat. Lil Baby)","Young Thug",647302,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
190,"Boy With Luv (feat. Halsey)",BTS,646645,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
191,"Wonderwall - Remastered",Oasis,644371,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
192,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",643834,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
193,"Get You The Moon (feat. Snøw)",Kina,642893,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
194,"Havana (feat. Young Thug)","Camila Cabello",642743,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
195,"Going Bad (feat. Drake)","Meek Mill",642262,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
196,"Heartless (feat. Morgan Wallen)",Diplo,641588,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
197,Closer,"The Chainsmokers",640037,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
198,"Verte Ir","DJ Luian",639890,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
199,Cuaderno,Dalex,639186,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
200,"BUTTERFLY EFFECT","Travis Scott",635063,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
